path,name,date,duration,rank,eliminations,expected_name,expected_date,expected_duration,expected_rank,expected_eliminations,is_valid,path
0.png,Rediffusion non sauvegardée,27/04/2018 21:50,18:57,1/100,3,Rediffusion non sauvegardée,27/04/2018 21:50,18:57,1/100,3,,0.png
0.png,Rediffusion non sauvegardée,27/04/2018 21 :26,20:31,1/86,5,Rediffusion non sauvegardée,27/04/2018 21:26,20:31,1/86,5,,0.png
0.png,Rediffusion non sauvegardée,27/04/2018 21 :08,16147,2/98,1,Rediffusion non sauvegardée,27/04/2018 21:08,16:47,2/98,1,,0.png
0.png,Rediffusion non sauvegardée,27/04/2018 20:50,16:44,3/98,4,Rediffusion non sauvegardée,27/04/2018 20:50,16:44,3/98,4,,0.png
0.png,Rediffusion non sauvegardée,27/04/2018 20:28,21:03,1/99,2,Rediffusion non sauvegardée,27/04/2018 20:28,21:03,1/99,2,,0.png
Bribricrew___hardkiller05___4.png,Rediffusion nan sauvegardée,01 /06/ 201 8 20143,24103,0/0,2,Rediffusion nan sauvegardée,01/06/2018 20:43,24:03,0/0,2,,Bribricrew___hardkiller05___4.png
Bribricrew___hardkiller05___4.png,Rediffusion non sauvegardée,01/06/2018 20114,21:28,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:14,21:28,0/0,0,,Bribricrew___hardkiller05___4.png
Bribricrew___hardkiller05___4.png,Rediffusion non sauvegardée,01 / 06/ 201 8 1 9237,16129,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:37,16:29,0/0,0,,Bribricrew___hardkiller05___4.png
Bribricrew___hardkiller05___4.png,Rediffusion non sauvegardée,01/06/2018 19207,12:22,0/0,2,Rediffusion non sauvegardée,01/06/2018 19:07,12:22,0/0,2,,Bribricrew___hardkiller05___4.png
Bribricrew___hardkiller05___4.png,Rediffusion non sauvegardée,01/06/2018 18:32,22:49,0/0,3,Rediffusion non sauvegardée,01/06/2018 18:32,22:49,0/0,3,,Bribricrew___hardkiller05___4.png
Bribricrew___Teuc_9___8.png,Rediﬁusiun non sauvegardée,01 /06/ 201 8 21 :43,23159,0/0,D,Rediﬁusiun non sauvegardée,01/06/2018 21:43,23:59,0/0,0,,Bribricrew___Teuc_9___8.png
Bribricrew___Teuc_9___8.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:29,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:29,0/0,0,,Bribricrew___Teuc_9___8.png
Bribricrew___Teuc_9___8.png,Rediffusion non sauvegardée,01/06/2018 20:37,26:20,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:37,26:20,0/0,0,,Bribricrew___Teuc_9___8.png
Bribricrew___Teuc_9___8.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:38,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:38,0/0,0,,Bribricrew___Teuc_9___8.png
Bribricrew___Teuc_9___8.png,Rediffusion non sauvegardée,01/06/2018 19:32,22:45,0/0,2,Rediffusion non sauvegardée,01/06/2018 19:32,22:45,0/0,2,,Bribricrew___Teuc_9___8.png
CorpsFrêles___AssMattik___9.png,Rediﬁusiun non sauvegardée,01 / 06/ 201 8 21143,13:39,0/0,1,Rediﬁusiun non sauvegardée,01/06/2018 21:43,13:39,0/0,1,,CorpsFrêles___AssMattik___9.png
CorpsFrêles___AssMattik___9.png,Rediffusion non sauvegardée,01/06/2018 21:14,03:46,O/O,0,Rediffusion non sauvegardée,01/06/2018 21:14,03:46,0/0,0,,CorpsFrêles___AssMattik___9.png
CorpsFrêles___AssMattik___9.png,Rediffusion non sauvegardée,01/06/2018 20:37,26:19,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:37,26:19,0/0,1,,CorpsFrêles___AssMattik___9.png
CorpsFrêles___AssMattik___9.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:42,O/O,2,Rediffusion non sauvegardée,01/06/2018 20:07,23:42,0/0,2,,CorpsFrêles___AssMattik___9.png
